Item,Count,Price Per Item,Total Cost,Source,Notes
NRF52840 Development Board,2,$2.94 ,$7.92 ,https://www.aliexpress.com/item/1005001621678794.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%202.94%21USD%202.94%21%21USD%202.94%21%21%21%402103864c17546871093517142e0f12%2112000016846541261%21ct%21UK%21-1%21%212%210,Cheap nice!nano + shipping for all of aliexpress items
1N4148 DO-35 Diodes,1,$2.00 ,$2.00 ,https://www.aliexpress.com/item/1005007131309837.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%202.55%21USD%201.58%21%21USD%201.58%21%21%21%402103864c17546871093517142e0f12%2112000039509276484%21ct%21UK%21-1%21%211%210,Diodes
Keycap Set,1,$10.00 ,$10.00 ,https://www.aliexpress.com/item/1005007511714496.html?spm=a2g0o.detail.0.0.4a7bOK6zOK6zd4&mp=1&pdp_npi=5%40dis%21USD%21USD%2029.94%21USD%2027.74%21%21USD%2027.74%21%21%21%40211b613917543927371393706e2a71%2112000041079406832%21ct%21UK%214899091290%21%211%210,"keycap set, quite good quality and look very nice, most price to performacnce i could find"
JST battery connector ,1,$2 ,$2 ,https://www.aliexpress.com/item/1005008970428474.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%201.74%21USD%201.74%21%21USD%201.74%21%21%21%402103864c17546871093517142e0f12%2112000047412491082%21ct%21UK%21-1%21%211%210,Battery connector
power switch,1,$2 ,$2 ,https://www.aliexpress.com/item/1005006827258573.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%201.56%21USD%201.56%21%21USD%201.56%21%21%21%402103864c17546871093517142e0f12%2112000038431123036%21ct%21UK%21-1%21%211%210,
Reset tactile button,2,$0 ,$1 ,https://www.aliexpress.com/item/1005006292427731.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%200.41%21USD%200.41%21%21USD%200.41%21%21%21%402103864c17546871093517142e0f12%2112000036636688325%21ct%21UK%21-1%21%212%210,
"Lithium Battery 110mAh",1,$8 ,8$,https://www.aliexpress.com/item/1005009279554068.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%2014.17%21USD%207.79%21%21USD%207.79%21%21%21%402103864c17546871093517142e0f12%2112000048591585127%21ct%21UK%21-1%21%211%210,"Pretty cheap batteries, has the pcb integrated and fits under the dev board to stay hidden 2/pc"
L+R PCB,1,$35.35 ,$35.35 ,https://cart.jlcpcb.com/quote?rand=0.6702360434866385,"Both pcbs, includes shipping"
Kailh Choc v1 Low Profile Switches,1,$38 ,38$,https://www.aliexpress.com/item/1005006626760418.html?spm=a2g0o.cart.0.0.272a38daeUtKrN&mp=1&pdp_npi=5%40dis%21USD%21USD%2038.48%21USD%2038.48%21%21USD%2038.48%21%21%21%402103864c17546871093517142e0f12%2112000040228314274%21ct%21UK%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,"Pretty good switches for a good price, only need 60 since keyboard is 58 keys"
m2 screws,1,$1.45 ,$1.45 ,https://www.aliexpress.com/item/1005005618746295.html?spm=a2g0o.cart.0.0.365838darF0Z92&mp=1&pdp_npi=5%40dis%21USD%21USD%202.34%21USD%201.45%21%21USD%201.45%21%21%21%40211b680e17547814745487759e1734%2112000033767212248%21ct%21UK%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,M2 screws
,,,$61.72 ,,
,,,,,
,,,,,
,,,,,
"",,,,,
